,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,10.02,11.47,8.94,12.68,15.58,20.43,19.74,30.76,34.44,28.85
Expenses,11.97,10.62,9.34,11.65,14.01,18.44,17.96,28.17,31.28,26.09
Operating Profit,-1.95,0.85,-0.4,1.03,1.57,1.99,1.78,2.59,3.16,2.76
OPM %,-19.46,7.41,-4.47,8.12,10.08,9.74,9.02,8.42,9.18,9.57
Other Income,0.45,0.16,0.11,0.67,0.13,0.09,0.14,0.91,-0.07,0.27
Interest,0.45,0.52,0.64,0.45,0.71,1.0,1.08,0.9,1.15,1.40
Depreciation,0.51,0.39,0.41,0.42,0.55,0.67,0.62,0.82,0.8,0.86
Profit before tax,-2.46,0.1,-1.34,0.83,0.44,0.41,0.22,1.78,1.14,0.77
Tax %,0.0,20.0,0.0,1.2,11.36,14.63,13.64,9.55,17.54,
Net Profit,-1.16,2.86,-1.28,0.84,0.26,0.2,0.19,1.61,0.95,0.61
EPS in Rs,-3.45,8.5,-3.81,2.5,0.77,0.59,0.57,4.79,2.83,1.81
