,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,15.37,1.17,4.14,7.17,3.04,2.52,2.32,4.23,2.42,3.73,3.67
Expenses,14.77,0.99,3.97,7.02,3.07,2.44,2.21,4.07,1.93,10.6,10.52
Operating Profit,0.6,0.18,0.17,0.15,-0.03,0.08,0.11,0.16,0.49,-6.87,-6.85
OPM %,3.9,15.38,4.11,2.09,-0.99,3.17,4.74,3.78,20.25,-184.18,-186.65
Other Income,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.01
Interest,0.0,0.01,0.01,0.03,0.04,0.03,0.02,0.02,0.03,0.04,0.06
Depreciation,0.01,0.07,0.07,0.11,0.16,0.11,0.07,0.05,0.13,0.21,0.25
Profit before tax,0.59,0.1,0.09,0.01,0.09,-0.06,0.02,0.09,0.33,-7.12,-7.15
Tax %,32.2,70.0,44.44,0.0,11.11,0.0,100.0,0.0,30.3,-1.4,
Net Profit,0.4,0.02,0.05,0.01,0.09,-0.07,0.0,0.09,0.23,-7.22,-7.26
EPS in Rs,0.32,0.01,0.03,0.01,0.05,-0.04,0.0,0.05,0.14,-4.26,-4.28
