,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,-5.97,0.0,2.47,-3.08,-1.98,-0.35,0.52,-0.44,0.67
Cash from Investing Activity,,-0.85,-2.16,-1.26,1.73,2.27,0.41,-0.01,-0.55,-0.9
Cash from Financing Activity,,9.11,-0.19,0.32,-0.13,-0.13,-0.11,-0.1,0.32,0.46
Net Cash Flow,,2.28,-2.36,1.53,-1.49,0.16,-0.05,0.41,-0.66,0.23
