,2019-03-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,1.26,1.13,1.17,3.06,1.17,1.19,0.75,2.98,0.69
Expenses,0.9,0.65,0.72,3.36,0.66,1.28,0.41,10.19,0.33
Operating Profit,0.36,0.48,0.45,-0.3,0.51,-0.09,0.34,-7.21,0.36
OPM %,28.57,42.48,38.46,-9.8,43.59,-7.56,45.33,-241.95,52.17
Other Income,-0.1,0.09,0.01,0.0,0.02,0.03,0.0,0.0,0.01
Interest,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.03,0.03
Depreciation,0.06,0.04,0.03,0.03,0.03,0.1,0.08,0.13,0.12
Profit before tax,0.19,0.52,0.42,-0.33,0.5,-0.17,0.25,-7.37,0.22
Tax %,0.0,1.92,26.19,33.33,16.0,-5.88,24.0,-0.68,36.36
Net Profit,0.19,0.52,0.31,-0.22,0.42,-0.18,0.19,-7.41,0.15
EPS in Rs,0.11,0.31,0.18,-0.13,0.25,-0.11,0.11,-4.37,0.09
