,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,12.44,16.94,16.94,16.94,16.94,16.94,16.94,16.94,16.94,16.94,16.94
Reserves,12.78,17.31,17.36,17.51,17.29,17.41,17.39,17.47,17.71,10.48,10.63
Borrowings,0.0,0.11,0.09,0.43,0.34,0.23,0.14,0.05,0.39,0.89,0.8
Other Liabilities,1.04,0.23,0.61,13.11,8.59,5.88,5.16,2.51,1.94,0.76,0.88
Total Liabilities,26.26,34.59,35.0,47.99,43.16,40.46,39.63,36.97,36.98,29.07,29.25
Fixed Assets,0.11,0.21,0.14,0.59,0.43,0.32,0.24,0.19,0.61,1.3,1.07
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.84,2.99,3.96,2.5700000000000003,0.24,0.01,0.01,0.01,0.0,0.0
Other Assets,26.15,33.54,31.87,43.44,40.16,39.9,39.38,36.77,36.36,27.77,28.18
Total Assets,26.26,34.59,35.0,47.99,43.16,40.46,39.63,36.97,36.98,29.07,29.25
