,2016-03-01,2017-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,5,16,18,18,24,24,24.0
Reserves,-2,-1,6,11,16,66,76,82.0
Preference Capital,4,4,0,0,0,0,0,
Borrowings,16,16,19,30,30,32,55,55.0
Other Liabilities,38,41,55,73,78,63,67,90.0
Total Liabilities,52,61,95,133,142,185,222,252.0
Fixed Assets,12,12,18,27,25,29,27,32.0
CWIP,0,4,1,0,3,0,5,8.0
Investments,0,1,1,1,1,0,0,0.0
Other Assets,40,44,75,105,114,156,189,213.0
Total Assets,52,61,95,133,142,185,222,252.0
