,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,27.45,27.72,36.5,38.74,37.03,36.5,38.62,47.56,33.76,38.79,37.98,39.24,35.75
Expenses,26.22,25.99,33.46,34.42,33.63,32.45,35.44,45.05,32.21,36.22,35.94,37.76,35.14
Operating Profit,1.23,1.73,3.04,4.32,3.4,4.05,3.18,2.51,1.55,2.57,2.04,1.48,0.61
OPM %,4.48,6.24,8.33,11.15,9.18,11.1,8.23,5.28,4.59,6.63,5.37,3.77,1.71
Other Income,0.25,0.05,0.31,0.1,0.72,0.04,0.01,0.43,0.51,0.31,0.56,2.14,2.29
Interest,0.25,0.4,1.18,1.38,1.11,1.36,0.91,0.72,0.3,0.19,0.32,1.06,0.80
Depreciation,0.53,0.65,1.22,2.06,2.01,1.71,1.21,1.07,1.21,1.44,0.97,1.28,1.30
Profit before tax,0.7,0.73,0.95,0.98,1.0,1.02,1.07,1.15,0.55,1.25,1.31,1.28,0.80
Tax %,20.0,19.18,20.0,19.39,21.0,23.53,20.56,20.0,41.82,4.8,14.5,19.53,
Net Profit,0.57,0.58,0.77,0.8,0.79,0.78,0.85,0.92,0.33,1.19,1.12,1.03,0.63
EPS in Rs,1.14,1.16,1.54,1.6,1.58,1.56,1.7,1.7,0.61,2.2,2.07,1.91,1.17
