,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,10.78,10.78,10.78,10.78,10.78,10.78,11.11,11.95,11.95,11.95,11.95,11.95
Reserves,25.86,27.08,26.83,24.75,23.65,23.13,14.05,-0.56,-7.19,-11.36,-14.1,-15.06
Borrowings,4.49,7.65,8.03,7.48,3.81,6.1,8.4,7.4,8.18,3.61,3.23,2.67
Other Liabilities,10.17,5.67,5.26,5.89,10.92,10.16,8.5,14.72,21.92,24.72,25.17,23.51
Total Liabilities,51.3,51.18,50.9,48.9,49.16,50.17,42.06,33.51,34.86,28.92,26.25,23.07
Fixed Assets,9.46,8.28,7.39,6.52,5.36,4.39,4.79,3.98,3.42,3.04,2.77,0.47
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0
Other Assets,41.69,42.75,43.36,42.23,43.65,45.63,37.12,29.38,31.29,25.88,23.48,22.6
Total Assets,51.3,51.18,50.9,48.9,49.16,50.17,42.06,33.51,34.86,28.92,26.25,23.07
