,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,16.3,10.24,2.74,6.56,13.93
Expenses,16.68,8.78,2.69,6.14,13.15
Operating Profit,-0.38,1.46,0.05,0.42,0.78
OPM %,-2.33,14.26,1.82,6.4,5.60
Other Income,0.57,0.11,0.03,0.03,0.03
Interest,0.0,0.43,0.04,0.04,0.06
Depreciation,0.0,0.31,0.0,0.12,0.06
Profit before tax,0.19,0.83,0.04,0.29,0.69
Tax %,0.0,34.94,25.0,3.45,
Net Profit,0.19,0.54,0.02,0.28,0.55
EPS in Rs,0.63,1.8,0.07,0.93,1.83
