,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,14.55,2.98,25.04,6.88,12.0,3.89,20.18,13.73,22.25,9.04
Expenses,13.72,2.58,24.1,6.36,11.66,3.55,19.84,13.45,21.8,8.75
Operating Profit,0.83,0.4,0.94,0.52,0.34,0.34,0.34,0.28,0.45,0.29
OPM %,5.7,13.42,3.75,7.56,2.83,8.74,1.68,2.04,2.02,3.21
Other Income,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.23,0.34,0.4,0.32,0.32,0.2,0.19,0.12,0.12,0.04
Profit before tax,0.6,0.06,0.59,0.2,0.02,0.14,0.15,0.16,0.33,0.25
Tax %,21.67,50.0,13.56,55.0,-300.0,0.0,20.0,43.75,15.15,28.0
Net Profit,0.47,0.03,0.52,0.09,0.08,0.13,0.12,0.08,0.28,0.17
EPS in Rs,0.48,0.03,0.39,0.07,0.06,0.1,0.09,0.06,0.21,0.13
