,Mar 2011,Mar 2012,Mar 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.04,0.02,0.78,6.29,6.73,12.82,25.15,17.12,28.02,18.88,24.07,35.98,31.29
Expenses,0.02,0.02,0.75,5.78,6.28,12.05,24.26,16.05,26.67,18.03,23.36,35.25,30.55
Operating Profit,0.02,0.00,0.03,0.51,0.45,0.77,0.89,1.07,1.35,0.85,0.71,0.73,0.74
OPM %,50.00,0.00,3.85,8.11,6.69,6.01,3.54,6.25,4.82,4.5,2.95,2.03,2.36
Other Income,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.02,-0.26,0.0,0.0,0.0,0.00
Interest,0.00,0.00,0.00,0.0,0.02,0.04,0.03,0.01,0.01,0.0,0.0,0.0,0.00
Depreciation,0.00,0.00,0.00,0.09,0.12,0.11,0.26,0.43,0.0,0.65,0.4,0.24,0.16
Profit before tax,0.02,0.00,0.03,0.42,0.31,0.62,0.61,0.65,1.08,0.2,0.31,0.49,0.58
Tax %,0.00,,33.33,33.33,41.94,32.26,26.23,26.15,17.59,25.0,38.71,24.49,
Net Profit,0.02,0.00,0.02,0.29,0.19,0.43,0.45,0.48,0.89,0.15,0.19,0.36,0.45
EPS in Rs,,,,29.0,0.26,0.44,0.46,0.49,0.66,0.11,0.14,0.27,0.34
