,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,642.0,844.0,890.0,913.0,1427.0,1988.0,1818.0,1900
Expenses,605.0,797.0,817.0,857.0,1359.0,1850.0,1695.0,1726
Operating Profit,37.0,47.0,74.0,56.0,69.0,138.0,124.0,174
OPM %,6.0,6.0,8.0,6.0,5.0,7.0,7.0,9
Other Income,5.0,7.0,8.0,7.0,28.0,8.0,7.0,6
Interest,21.0,21.0,19.0,15.0,26.0,18.0,20.0,28
Depreciation,9.0,11.0,11.0,14.0,13.0,15.0,25.0,31
Profit before tax,11.0,22.0,52.0,35.0,58.0,113.0,85.0,121
Tax %,14.0,18.0,20.0,26.0,27.0,25.0,25.0,
Net Profit,10.0,18.0,41.0,26.0,42.0,85.0,64.0,87
EPS in Rs,0.69,1.14,2.37,1.35,1.75,3.51,2.74,3.46
