,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,14,16,17,19,24,24,24,25.0
Reserves,84,116,165,198,261,342,407,527.0
Preference Capital,0,3,3,3,3,3,6,
Borrowings,217,225,189,175,180,257,432,509.0
Other Liabilities,166,139,188,212,167,133,233,170.0
Total Liabilities,481,495,560,604,632,758,1096,1231.0
Fixed Assets,85,136,138,129,129,153,339,557.0
CWIP,54,5,10,19,29,166,212,51.0
Investments,25,33,34,36,26,5,7,10.0
Other Assets,317,321,377,420,448,433,537,614.0
Total Assets,481,495,560,604,632,758,1096,1231.0
