,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,4.87,5.08,5.92
Reserves,1.18,1.18,1.19,1.2,1.22,1.38,2.17,2.13,2.56,7.25,7.39,6.87
Borrowings,0.0,0.0,0.0,0.0,0.27,0.29,2.47,2.5700000000000003,2.03,0.93,2.11,0.11
Other Liabilities,0.01,0.03,0.08,0.11,0.74,4.71,5.49,7.61,4.44,1.69,1.74,1.39
Total Liabilities,3.22,3.24,3.3,3.34,4.26,8.41,12.16,14.34,11.06,14.74,16.32,14.29
Fixed Assets,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.02
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.08
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,1.74,4.76,2.85
Other Assets,3.19,3.22,3.28,3.32,4.25,8.4,12.15,14.33,10.64,12.96,11.45,11.34
Total Assets,3.22,3.24,3.3,3.34,4.26,8.41,12.16,14.34,11.06,14.74,16.32,14.29
