,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,0.0,44,40,46,0,0,0,0,0
Inventory Days,849.0,163,161,206,3549,3468,102,1234,2148
Days Payable,0.0,17,12,10,0,0,0,0,0
Cash Conversion Cycle,849.0,190,190,242,3549,3468,102,1234,2148
Working Capital Days,407.0,150,160,144,2708,2819,113,640,1420
ROCE %,,10,9,10,1,1,1,4,1
