,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,14.72,15.16,14.74,11.67,9.74,6.21,2.49,4.59,5.63,5.73
Expenses,12.61,11.43,11.61,10.13,12.28,11.76,4.86,6.82,9.89,10.28
Operating Profit,2.11,3.73,3.13,1.54,-2.54,-5.55,-2.37,-2.23,-4.26,-4.55
OPM %,14.33,24.6,21.23,13.2,-26.08,-89.37,-95.18,-48.58,-75.67,-79.41
Other Income,5.07,4.72,1.01,1.48,0.79,4.16,2.41,1.67,3.36,3.45
Interest,7.03,5.51,5.25,3.9,1.28,0.77,0.63,0.48,0.45,0.44
Depreciation,0.9,1.0,1.25,1.17,1.46,1.29,1.28,1.41,1.28,1.22
Profit before tax,-0.75,1.94,-2.36,-2.05,-4.49,-3.45,-1.87,-2.45,-2.63,-2.76
Tax %,-28.0,27.32,30.93,38.54,18.71,-0.87,0.0,0.0,0.0,
Net Profit,-2.21,-0.05,-1.63,-1.27,-3.65,-3.49,-1.87,-2.46,-2.62,-2.76
EPS in Rs,-0.57,-0.01,-0.42,-0.33,-0.94,-0.9,-0.48,-0.64,-0.68,-0.71
