,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.36
Reserves,67.66,67.91,68.86,67.63,63.98,60.2,58.83,56.77,54.47,54.16
Borrowings,52.7,49.39,40.16,18.78,4.24,4.39,3.83,2.89,1.98,2.18
Other Liabilities,28.58,29.47,35.62,53.58,67.25,70.38,97.81,99.1,98.04,98.58
Total Liabilities,168.3,166.13,164.0,159.35,154.83,154.33,179.83,178.12,173.85,174.28
Fixed Assets,27.96,27.04,47.43,53.99,52.55,51.39,55.72,54.23,52.95,52.37
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,27.53,25.13,4.3,3.64,3.94,2.93,5.66,5.82,2.86,2.84
Other Assets,112.81,113.96,112.27,101.72,98.34,100.01,118.45,118.07,118.04,119.07
Total Assets,168.3,166.13,164.0,159.35,154.83,154.33,179.83,178.12,173.85,174.28
