,2021-06-01,2021-09-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,10.67,12.7,43.48,17.66,20.08,59.77,28.49,26.02,27.16
Expenses,10.55,12.55,42.91,17.46,19.92,59.22,27.9,25.73,26.93
Operating Profit,0.12,0.15,0.57,0.2,0.16,0.55,0.59,0.29,0.23
OPM %,1.12,1.18,1.31,1.13,0.8,0.92,2.07,1.11,0.85
Other Income,0.0,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.0
Interest,0.03,0.03,0.14,0.04,0.08,0.19,0.11,0.05,0.09
Depreciation,0.0,0.0,0.1,0.0,0.0,0.0,0.12,0.0,0.0
Profit before tax,0.09,0.12,0.34,0.16,0.09,0.36,0.38,0.24,0.14
Tax %,0.0,25.0,32.35,25.0,33.33,25.0,28.95,25.0,21.43
Net Profit,0.09,0.09,0.23,0.12,0.07,0.27,0.27,0.19,0.11
EPS in Rs,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.01
