,2023-09-01
Depreciation,0.04
EPS in Rs,1.1
Expenses,3.11
Interest,0.0
Net Profit,0.22
OPM %,9.86
Operating Profit,0.34
Other Income,0.03
Profit before tax,0.33
Sales,3.45
Tax %,33.33
