,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,31.79,30.02,33.62,29.22,32.26,30.88,33.47,21.83,21.27,19.4,21.74,28.48,31.87
Expenses,30.18,34.05,37.45,33.03,34.98,32.45,33.22,25.09,22.59,24.02,26.91,33.76,35.42
Operating Profit,1.61,-4.03,-3.83,-3.81,-2.72,-1.57,0.25,-3.26,-1.32,-4.62,-5.17,-5.28,-3.55
OPM %,5.06,-13.42,-11.39,-13.04,-8.43,-5.08,0.75,-14.93,-6.21,-23.81,-23.78,-18.54,-11.14
Other Income,0.41,0.71,0.9,1.41,1.97,1.37,-0.41,2.49,1.11,1.2,31.91,0.42,9.82
Interest,5.42,5.38,5.13,5.38,5.37,5.64,5.12,5.5,4.51,4.9,-4.92,2.76,2.55
Depreciation,1.79,1.79,1.74,1.73,1.65,1.56,1.51,1.5,1.51,1.49,1.58,1.45,1.46
Profit before tax,-5.19,-10.49,-9.8,-9.51,-7.77,-7.4,-6.79,-7.77,-6.23,-9.81,30.08,-9.07,2.26
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit,-5.18,-10.48,-9.79,-9.5,-7.78,-7.4,-6.79,-7.78,-6.22,-9.82,30.08,-9.07,2.26
EPS in Rs,-7.43,-14.45,-12.66,-13.05,-11.02,-10.48,-9.82,-12.85,-7.22,-16.09,44.51,-12.51,4.06
