,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,3.29,5.52,8.81,25.31,8.16,0.8,0.22,0.00,0.00
Expenses,3.22,5.2,8.15,22.68,7.58,0.56,1.15,1.37,0.02
Operating Profit,0.07,0.32,0.66,2.63,0.58,0.24,-0.93,-1.37,-0.02
OPM %,2.13,5.8,7.49,10.39,7.11,30.0,-422.73,,
Other Income,0.04,0.0,0.13,0.08,0.0,0.0,0.0,0.00,0.00
Interest,0.0,0.0,0.05,0.79,0.1,0.0,0.0,0.00,0.00
Depreciation,0.03,0.04,0.24,0.43,0.35,0.22,0.32,0.16,0.64
Profit before tax,0.08,0.28,0.5,1.49,0.13,0.02,-1.25,-1.53,-0.66
Tax %,37.5,28.57,36.0,22.15,30.77,0.0,0.0,0.00,0.00
Net Profit,0.05,0.2,0.32,1.16,0.09,0.01,-1.25,-1.53,-0.66
EPS in Rs,50.0,200.0,1.07,1.93,0.1,0.01,-1.34,-1.65,-0.71
