,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,0.01,0.01,3.0,6.0,9.3,9.3,9.3,9.3,9.3
Reserves,0.09,0.61,1.01,9.37,19.72,19.73,18.47,16.94,16.29
Borrowings,0.8300000000000001,0.71,0.8200000000000001,5.8100000000000005,0.37,0.15,0.15,0.28,0.28
Other Liabilities,1.25,0.97,0.51,1.2,1.29,0.28,0.18,0.17,0.17
Total Liabilities,2.18,2.3,5.34,22.38,30.68,29.46,28.1,26.69,26.04
Fixed Assets,0.33,0.35,0.78,4.92,4.57,4.35,4.03,3.87,3.23
CWIP,0.0,0.03,0.0,0.0,1.65,1.65,1.65,1.65,1.65
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,1.85,1.92,4.5600000000000005,17.46,24.46,23.46,22.42,21.17,21.16
Total Assets,2.18,2.3,5.34,22.38,30.68,29.46,28.1,26.69,26.04
