,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,46.46,61.93,61.93,61.93,61.93,61.93,61.93,61.93,66.44,66.44
Reserves,19.29,3.42,3.84,11.33,12.91,16.41,17.67,18.52,24.05,41.59
Borrowings,4.66,10.78,6.01,6.22,4.12,7.12,6.78,5.79,704.85,698.89
Other Liabilities,3.59,35.47,147.02,128.46,145.51,138.58,55.79,40.83,52.16,71.79
Total Liabilities,74.0,111.6,218.8,207.94,224.47,224.04,142.17,127.07,847.5,878.71
Fixed Assets,2.4,2.28,2.3,8.9,8.62,8.94,8.84,8.96,10.98,10.94
CWIP,0.02,0.2,0.2,0.0,0.0,0.0,0.0,2.16,0.03,0.03
Investments,3.55,0.51,0.52,0.01,0.01,0.01,0.87,0.87,704.36,715.77
Other Assets,68.03,108.61,215.78,199.03,215.84,215.09,132.46,115.08,132.13,151.97
Total Assets,74.0,111.6,218.8,207.94,224.47,224.04,142.17,127.07,847.5,878.71
