,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.62,33.96,177.53,74.1,105.42,100.2,106.63,75.51,69.55,68.02
Expenses,0.67,34.07,176.26,74.45,106.31,106.51,178.81,73.1,68.97,68.78
Operating Profit,-0.05,-0.11,1.27,-0.35,-0.89,-6.31,-72.18,2.41,0.58,-0.76
OPM %,-8.06,-0.32,0.72,-0.47,-0.84,-6.3,-67.69,3.19,0.83,-1.12
Other Income,0.43,0.51,0.16,1.27,3.48,11.72,74.35,0.07,1.88,1.04
Interest,0.02,0.05,0.02,0.02,0.02,0.21,0.01,0.1,0.54,0.39
Depreciation,0.2,0.08,0.08,0.18,0.32,0.31,0.24,0.21,0.39,0.40
Profit before tax,0.16,0.27,1.33,0.72,2.25,4.89,1.92,2.17,1.53,-0.51
Tax %,31.25,40.74,32.33,33.33,30.22,29.24,33.33,60.37,56.21,
Net Profit,0.11,0.16,0.9,0.48,1.57,3.47,1.28,0.86,0.67,-1.24
EPS in Rs,0.0,0.0,0.01,0.01,0.03,0.06,0.02,0.01,0.01,-0.02
