,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,1,1,1,1,1,1,1,1
Reserves,24,24,31,46,66,78,87,101,119,126
Borrowings,4,3,7,1,0,26,24,23,128,78
Other Liabilities,23,34,25,29,34,42,40,41,91,86
Total Liabilities,52,63,64,77,102,147,152,166,339,292
Fixed Assets,5,6,4,4,5,30,28,27,49,47
CWIP,0,0,0,0,0,0,0,0,0,0
Investments,0,0,13,22,33,41,49,57,12,14
Other Assets,47,57,47,52,64,76,75,83,278,231
Total Assets,52,63,64,77,102,147,152,166,339,292
