,2022-09-01,2023-06-01,2023-09-01
Revenue,334,479.0,564
Interest,121,194.0,221
Expenses,207,150.0,191
Financing Profit,6,135.0,152
Financing Margin %,2,28.0,27
Other Income,7,1.0,3
Depreciation,6,8.0,9
Profit before tax,6,128.0,147
Tax %,26,25.0,25
Net Profit,5,96.0,110
EPS in Rs,0.39,8.19,9.38
Gross NPA %,,2.75,
Net NPA %,,0.51,
