,2019-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-602,-704,-1084,-2333
Cash from Investing Activity,-6,-38,-74,-180
Cash from Financing Activity,707,80,1344,2567
Net Cash Flow,99,-662,187,54
