,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,61.53,62.17,67.87,88.29,55.71,60.83,80.49,93.37,61.32,68.75,89.86,128.82,65.65
Expenses,58.78,56.4,64.28,80.3,53.14,57.51,75.44,84.46,56.19,59.92,88.57,118.66,60.03
Operating Profit,2.75,5.77,3.59,7.99,2.57,3.32,5.05,8.91,5.13,8.83,1.29,10.16,5.62
OPM %,4.47,9.28,5.29,9.05,4.61,5.46,6.27,9.54,8.37,12.84,1.44,7.89,8.56
Other Income,0.18,0.07,0.17,0.07,0.4,7.27,0.37,0.36,0.0,0.08,2.4,0.06,0.07
Interest,1.86,3.04,1.48,1.95,1.87,1.7,1.82,2.22,2.46,2.14,3.52,2.97,2.91
Depreciation,0.71,0.8,0.76,0.85,0.67,0.79,0.81,0.85,0.77,0.85,0.82,0.86,0.9
Profit before tax,0.36,2.0,1.52,5.26,0.43,8.1,2.79,6.2,1.9,5.92,-0.65,6.39,1.88
Tax %,83.33,10.5,77.63,8.37,218.6,15.31,56.99,19.84,64.21,28.21,46.15,18.78,38.83
Net Profit,0.06,1.79,0.35,4.83,-0.51,6.86,1.21,4.97,0.68,4.25,-0.35,5.2,1.15
EPS in Rs,0.01,0.21,0.04,0.57,-0.06,0.8,0.14,0.58,0.08,0.5,-0.04,0.61,0.13
