,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-710,-343,-4186,-1167,1078,-1024,155,-733,-1206,-225,704,64
Cash from Investing Activity,-610,-394,3084,-107,-37,-30,-492,-297,-43,-259,204,-174
Cash from Financing Activity,1276,730,1237,1110,-957,984,345,1044,1326,414,-936,177
Net Cash Flow,-44,-6,135,-164,85,-71,7,14,77,-70,-28,67
