,2022-11-01,2023-03-01,2023-09-01
Promoters,73.28,73.43,73.43
FIIs,6.53,3.62,0.78
DIIs,4.12,1.81,0.96
Public,16.07,21.14,24.83
No. of Shareholders,2284.0,1879.0,2276.0
