,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,,,264.0,120
Inventory Days,,,87.0,57
Days Payable,,,265.0,57
Cash Conversion Cycle,,,87.0,120
Working Capital Days,,,153.0,139
ROCE %,,,,15
