,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-10,130,-4,36,-1,24
Cash from Investing Activity,-22,-36,-26,-68,59,-63
Cash from Financing Activity,34,-96,53,5,-59,35
Net Cash Flow,2,-2,23,-27,-1,-4
