,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,503.0,688.0,536.0,504.0,611.0,742.0,776
Expenses,472.0,667.0,517.0,465.0,558.0,718.0,738
Operating Profit,32.0,20.0,19.0,39.0,53.0,24.0,38
OPM %,6.0,3.0,4.0,8.0,9.0,3.0,5
Other Income,2.0,4.0,3.0,7.0,8.0,7.0,12
Interest,4.0,3.0,2.0,2.0,2.0,4.0,4
Depreciation,8.0,6.0,9.0,10.0,11.0,10.0,9
Profit before tax,22.0,16.0,11.0,34.0,49.0,17.0,38
Tax %,30.0,48.0,18.0,23.0,28.0,29.0,
Net Profit,16.0,8.0,9.0,27.0,35.0,12.0,28
EPS in Rs,2.38,1.27,1.31,4.05,5.39,1.86,4.29
