,2012-06-01,2013-06-01,2014-06-01,2015-06-01,2016-06-01,2017-06-01,2018-06-01,2019-06-01,2020-06-01,2021-06-01,2022-06-01,2023-06-01
Equity Capital,32,32,32,32,32,32,32,32,32,32,32,32
Reserves,665,773,970,1196,1619,494,773,877,1125,682,705,914
Borrowings,0,0,0,0,0,0,0,0,0,3,5,4
Other Liabilities,402,444,505,719,515,634,620,708,671,915,940,1187
Total Liabilities,1099,1249,1508,1948,2166,1160,1425,1617,1828,1633,1683,2137
Fixed Assets,198,215,240,309,317,286,250,234,206,184,164,170
CWIP,29,41,98,39,35,41,21,15,22,38,44,23
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,871,993,1170,1600,1814,834,1154,1368,1600,1411,1475,1945
Total Assets,1099,1249,1508,1948,2166,1160,1425,1617,1828,1633,1683,2137
