,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,55.93,56.1,55.55,54.13,52.66,52.86,54.91
FIIs,8.59,8.14,10.19,12.42,13.31,14.86,13.2
DIIs,10.82,11.65,11.18,9.67,10.5,10.02,14.52
Public,24.66,24.11,23.08,23.78,23.52,22.27,17.37
No. of Shareholders,33129.0,29758.0,29195.0,41470.0,57061.0,45931.0,42245.0
