,2022-09-01,2023-03-01,2023-06-01,2023-09-01
Sales,336.13,342.50,351.60,359.24
Expenses,312.61,331.89,338.12,340.54
Operating Profit,23.52,10.61,13.48,18.7
OPM %,7.00,3.10,3.83,5.21
Other Income,2.20,0.84,0.98,0.91
Interest,3.16,4.81,4.57,5.17
Depreciation,3.45,5.20,4.27,4.49
Profit before tax,19.11,1.44,5.62,9.95
Tax %,7.27,-29.17,4.45,20.0
Net Profit,17.72,1.86,5.37,7.95
EPS in Rs,,,,1.19
