,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,74.99,74.99,74.95,74.89,74.68,74.66,74.66,73.39
FIIs,7.98,6.04,6.67,7.49,5.55,5.36,5.18,8.38
DIIs,10.69,8.12,8.35,8.89,7.17,10.16,10.06,9.69
Public,6.34,10.85,10.02,8.7,12.57,9.55,9.84,8.33
Others,0.0,0.0,0.01,0.03,0.03,0.27,0.25,0.22
No. of Shareholders,125691.0,138543.0,129960.0,119622.0,150877.0,235644.0,265138.0,289740.0
