,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,383,493,495,495
Reserves,-298,548,331,240
Borrowings,901,887,1168,1199
Other Liabilities,977,451,500,517
Total Liabilities,1963,2378,2493,2451
Fixed Assets,1391,1514,1953,2008
CWIP,47,18,35,59
Investments,124,402,147,118
Other Assets,401,444,358,265
Total Assets,1963,2378,2493,2451
