,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,321.0,298.0,357.0,435.0,400.0,489.0,525.0,526.0,514.0,611.0,625.0
Expenses,301.0,287.0,344.0,384.0,380.0,460.0,500.0,497.0,487.0,562.0,569.0
Operating Profit,21.0,11.0,14.0,52.0,20.0,29.0,25.0,30.0,27.0,48.0,56.0
OPM %,6.0,4.0,4.0,12.0,5.0,6.0,5.0,6.0,5.0,8.0,9.0
Other Income,-2.0,5.0,5.0,3.0,-16.0,13.0,11.0,8.0,4.0,7.0,3.0
Interest,22.0,23.0,23.0,22.0,27.0,23.0,24.0,26.0,32.0,31.0,32.0
Depreciation,57.0,57.0,58.0,59.0,59.0,70.0,67.0,68.0,80.0,79.0,79.0
Profit before tax,-60.0,-65.0,-62.0,-26.0,-82.0,-51.0,-55.0,-56.0,-80.0,-54.0,-51.0
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit,-60.0,-65.0,-62.0,-26.0,-82.0,-51.0,-55.0,-56.0,-80.0,-54.0,-51.0
EPS in Rs,-1.27,-1.51,-1.26,-0.59,-1.36,-0.96,-1.01,-1.02,-1.48,-1.02,-0.93
