,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1004.0,1490.0,2054.0,2276
Expenses,979.0,1394.0,1943.0,2114
Operating Profit,25.0,97.0,112.0,162
OPM %,2.0,6.0,5.0,7
Other Income,26.0,-3.0,36.0,23
Interest,104.0,95.0,105.0,120
Depreciation,229.0,234.0,284.0,305
Profit before tax,-282.0,-235.0,-242.0,-241
Tax %,0.0,0.0,0.0,
Net Profit,-282.0,-235.0,-242.0,-241
EPS in Rs,-6.42,-3.98,-4.47,-4.45
