,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,10.55,0.29,5.17,0.00,10.0,5.25,8.75,19.0,0.00,17.86,0.00,24.44,41.44
Expenses,10.55,2.03,5.47,1.42,11.05,5.43,8.66,16.56,2.01,16.55,2.14,22.89,37.14
Operating Profit,0.0,-1.74,-0.3,-1.42,-1.05,-0.18,0.09,2.44,-2.01,1.31,-2.14,1.55,4.30
OPM %,0.0,-600.0,-5.8,,-10.5,-3.43,1.03,12.84,,7.33,,6.34,10.38
Other Income,3.12,2.17,1.26,1.41,18.88,1.24,1.23,0.86,6.15,1.95,0.74,1.61,1.79
Interest,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.00,0.0,0.00
Depreciation,0.1,0.18,0.18,0.14,0.08,0.07,0.08,0.1,0.12,0.13,0.13,0.13,0.12
Profit before tax,3.02,0.25,0.78,-0.15,17.75,0.99,1.24,3.2,4.02,3.13,-1.53,3.03,5.97
Tax %,25.17,16.0,20.51,-113.33,22.48,36.36,29.03,24.06,19.40,11.82,-0.65,22.77,
Net Profit,2.26,0.22,0.62,-0.32,13.76,0.64,0.88,2.43,3.24,2.78,-1.54,2.34,4.67
EPS in Rs,229.21,22.31,62.88,-32.45,1395.54,64.91,89.25,246.45,328.60,281.95,-156.19,237.32,473.63
