,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10,10,10,10,10,10,10,10,41,41
Reserves,73,108,155,250,362,418,450,560,762,911
Borrowings,7,6,95,108,38,1,1,11,7,22
Other Liabilities,13,13,36,101,66,40,38,52,136,196
Total Liabilities,103,137,297,470,475,469,498,633,945,1170
Fixed Assets,24,24,78,49,51,41,38,112,234,258
CWIP,0,0,0,0,3,0,0,0,0,0
Investments,2,2,32,28,28,29,24,70,88,92
Other Assets,78,111,187,393,393,400,436,451,623,820
Total Assets,103,137,297,470,475,469,498,633,945,1170
