,2011-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,103,114,114,114,114,114,114,114,127,127,127.0
Reserves,113,336,333,350,282,222,198,213,596,884,1311.0
Preference Capital,540,0,0,0,0,0,0,0,0,0,
Borrowings,0,0,0,0,0,0,0,2,23,70,39.0
Other Liabilities,934,49,30,12,1,1,1,6,109,217,328.0
Total Liabilities,1150,499,478,475,397,336,314,335,855,1297,1805.0
Fixed Assets,0,0,0,0,0,0,0,0,14,33,38.0
CWIP,0,0,0,0,0,0,0,0,4,26,27.0
Investments,445,330,335,331,253,186,164,179,351,632,1204.0
Other Assets,705,169,143,145,144,150,150,156,487,606,535.0
Total Assets,1150,499,478,475,397,336,314,335,855,1297,1805.0
