,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.32,0.32,0.32,1.92,2.22,2.22
Reserves,6.07,7.01,7.38,6.32,10.33,10.78
Borrowings,6.23,4.37,3.39,3.78,1.11,2.14
Other Liabilities,1.08,1.87,2.08,2.41,4.09,3.19
Total Liabilities,13.7,13.57,13.17,14.43,17.75,18.33
Fixed Assets,2.37,2.06,1.85,1.81,2.33,2.46
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,11.33,11.51,11.32,12.62,15.42,15.87
Total Assets,13.7,13.57,13.17,14.43,17.75,18.33
