,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,20.72,20.06,17.03,21.08,25.1,27.68
Expenses,17.84,17.57,15.74,19.74,24.02,27.01
Operating Profit,2.88,2.49,1.29,1.34,1.08,0.67
OPM %,13.9,12.41,7.57,6.36,4.3,2.42
Other Income,0.24,0.12,0.12,0.08,0.35,0.31
Interest,0.62,0.59,0.49,0.4,0.49,0.42
Depreciation,0.57,0.48,0.39,0.34,0.41,0.57
Profit before tax,1.93,1.54,0.53,0.68,0.53,-0.01
Tax %,24.87,26.62,30.19,19.12,39.62,
Net Profit,1.44,1.13,0.37,0.55,0.32,-0.40
EPS in Rs,45.0,35.31,11.56,2.86,1.44,-1.80
