,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.0,1.0,10.54,10.54,10.54,10.54,10.54,10.54,10.54
Reserves,4.66,5.06,4.45,5.02,-19.65,-24.81,-24.79,-24.77,-24.77
Borrowings,9.41,10.04,16.56,20.69,19.71,19.71,19.71,19.71,18.67
Other Liabilities,11.54,13.15,5.62,10.88,1.23,0.75,0.67,0.72,1.77
Total Liabilities,26.61,29.25,37.17,47.13,11.83,6.19,6.13,6.2,6.21
Fixed Assets,0.16,3.02,3.44,3.47,3.5,3.44,3.44,3.44,3.44
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.38,0.27,0.29,0.31,0.0,0.0,0.0,0.0,0.0
Other Assets,26.07,25.96,33.44,43.35,8.33,2.75,2.69,2.76,2.77
Total Assets,26.61,29.25,37.17,47.13,11.83,6.19,6.13,6.2,6.21
