,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,93.0,68.0,73.0,31.0,35.0,30.0,59.0,72.0,109.0,100.0
Expenses,80.0,59.0,67.0,27.0,30.0,25.0,54.0,65.0,98.0,89.0
Operating Profit,13.0,9.0,6.0,4.0,4.0,5.0,6.0,7.0,11.0,11.0
OPM %,14.0,14.0,9.0,13.0,13.0,16.0,10.0,10.0,10.0,11.0
Other Income,-6.0,0.0,-15.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Interest,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0
Depreciation,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,-1.0,2.0
Profit before tax,3.0,5.0,-13.0,0.0,1.0,0.0,1.0,1.0,9.0,7.0
Tax %,55.0,23.0,11.0,-103.0,76.0,-54.0,-17.0,-4.0,16.0,26.0
Net Profit,1.0,4.0,-12.0,1.0,0.0,0.0,1.0,1.0,7.0,5.0
EPS in Rs,0.78,2.14,-6.38,0.42,0.07,0.2,0.65,0.61,3.85,2.68
