,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,21,21,21,21,21,21,21,21,21,21,21,21
Reserves,53,55,58,61,64,68,73,77,83,91,97,101
Borrowings,0,15,48,75,79,105,131,101,117,126,121,128
Other Liabilities,11,30,8,12,7,11,9,9,5,6,9,19
Total Liabilities,85,121,135,169,171,205,234,208,226,244,248,269
Fixed Assets,0,0,0,2,2,2,2,3,5,5,5,5
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,1,1,6,3,0,0,0,0,0,0,0
Other Assets,84,120,134,161,166,204,232,205,220,239,243,264
Total Assets,85,121,135,169,171,205,234,208,226,244,248,269
