,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,20.09,21.95,21.72,19.87,22.0,20.0,16.0,17.03,16.82,15.8,17.41,19.95
Expenses,14.79,17.54,16.55,14.15,18.48,17.44,12.63,12.52,14.2,13.02,15.14,16.7
Operating Profit,5.3,4.41,5.17,5.72,3.52,2.56,3.37,4.51,2.62,2.78,2.27,3.25
OPM %,26.38,20.09,23.8,28.79,16.0,12.8,21.06,26.48,15.58,17.59,13.04,16.29
Other Income,1.29,0.7,1.08,1.04,0.75,1.12,0.39,1.26,1.72,1.58,1.8,1.45
Interest,0.05,0.04,0.08,0.06,0.07,0.14,0.18,0.01,0.02,0.05,0.08,0.07
Depreciation,0.29,0.28,0.29,0.29,0.3,0.3,0.31,0.31,0.31,0.3,0.31,0.29
Profit before tax,6.25,4.79,5.88,6.41,3.9,3.24,3.27,5.45,4.01,4.01,3.68,4.34
Tax %,22.24,27.14,25.68,23.09,20.26,25.0,24.46,25.14,20.45,21.45,17.12,21.66
Net Profit,4.85,3.48,4.38,4.93,3.11,2.43,2.47,4.08,3.19,3.14,3.06,3.4
EPS in Rs,2.42,1.74,2.19,2.46,1.55,1.21,1.23,2.04,1.59,1.57,1.53,1.7
