,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,59.26,61.92,66.04,68.44,73.28,61.12,64.93,71.56,70.85,55.38,91.02,88.23,79.75
Expenses,67.1,55.72,62.64,59.01,63.35,54.28,58.13,64.14,64.17,49.32,79.64,78.55,71.14
Operating Profit,-7.84,6.2,3.4,9.43,9.93,6.84,6.8,7.42,6.68,6.06,11.38,9.68,8.61
OPM %,-13.23,10.01,5.15,13.78,13.55,11.19,10.47,10.37,9.43,10.94,12.5,10.97,10.80
Other Income,1.71,0.79,0.44,-0.35,0.25,0.12,0.5,0.4,0.35,0.05,0.14,1.05,0.65
Interest,3.85,3.12,3.49,4.5,3.44,2.96,2.52,2.71,2.47,2.54,2.63,2.67,3.00
Depreciation,3.13,3.48,3.52,4.27,3.75,3.62,3.48,3.41,3.45,3.35,3.86,4.29,4.46
Profit before tax,-13.11,0.39,-3.17,0.31,2.99,0.38,1.3,1.7,1.11,0.22,5.03,3.77,1.80
Tax %,-24.71,-1120.51,38.17,6.45,24.41,7.89,0.0,0.0,-12.61,650.0,30.82,22.55,
Net Profit,-16.35,4.76,-1.96,0.28,2.26,0.35,1.31,1.69,1.25,-1.21,3.48,2.91,1.43
EPS in Rs,-16.06,4.67,-1.92,0.27,2.22,0.34,1.29,1.66,1.23,-1.19,3.42,2.86,1.41
