,Mar 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,80.0,111.0,112.0,120.0,127.0,154.0,148.0,73.0,115.0,200.0,213
Expenses,73.0,101.0,99.0,106.0,111.0,138.0,135.0,63.0,106.0,187.0,196
Operating Profit,7.0,10.0,13.0,14.0,16.0,16.0,13.0,10.0,9.0,13.0,17
OPM %,9.0,9.0,12.0,11.0,13.0,10.0,9.0,14.0,8.0,7.0,8
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Interest,3.0,4.0,6.0,6.0,7.0,6.0,8.0,7.0,6.0,7.0,8
Depreciation,2.0,4.0,6.0,5.0,6.0,6.0,4.0,4.0,3.0,4.0,5
Profit before tax,2.0,2.0,2.0,2.0,4.0,4.0,1.0,0.0,1.0,3.0,5
Tax %,33.0,30.0,29.0,33.0,33.0,24.0,21.0,25.0,27.0,25.0,
Net Profit,1.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,4
EPS in Rs,142.58,82.26,81.73,85.96,1.53,1.97,0.55,0.04,0.34,1.46,2.40
