,2013-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,0,0,16,16,16,16,16,16,16
Reserves,12,26,27,29,42,45,46,46,47,49,51
Borrowings,36,48,64,68,56,65,65,58,51,79,83
Other Liabilities,6,10,7,12,24,33,28,14,32,35,67
Total Liabilities,53,85,98,110,137,160,155,134,146,178,217
Fixed Assets,19,35,44,42,47,41,37,34,31,33,55
CWIP,0,2,0,0,0,0,0,0,0,12,0
Investments,0,0,0,0,0,0,0,0,0,0,0
Other Assets,34,48,54,68,91,118,117,100,114,133,162
Total Assets,53,85,98,110,137,160,155,134,146,178,217
