,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,38.59,35.6,26.23,34.09,75.1,47.4,43.91,44.65,76.86
Expenses,36.26,33.18,23.99,31.39,70.82,43.32,41.57,40.62,70.24
Operating Profit,2.33,2.42,2.24,2.7,4.28,4.08,2.34,4.03,6.62
OPM %,6.04,6.8,8.54,7.92,5.7,8.61,5.33,9.03,8.61
Other Income,0.12,0.1,0.09,0.01,0.13,0.23,-0.01,0.09,0.14
Interest,1.5,1.23,1.3,1.6,1.99,2.23,1.38,2.29,2.02
Depreciation,0.85,0.85,0.85,1.0,1.03,1.05,0.45,0.82,2.64
Profit before tax,0.1,0.44,0.18,0.11,1.39,1.03,0.5,1.01,2.1
Tax %,30.0,27.27,27.78,18.18,20.14,26.21,22.0,25.74,13.81
Net Profit,0.08,0.33,0.13,0.09,1.1,0.77,0.39,0.74,1.81
EPS in Rs,0.05,0.21,0.08,0.06,0.71,0.5,0.25,0.48,1.17
