,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,35.5,13.59,28.16,22.57,14.46,15.56,16.02,15.95,13.83,13.09,10.57,-0.02,0.0
Expenses,32.63,11.19,25.49,20.1,11.68,11.49,13.06,13.59,12.52,12.29,11.59,1.93,1.37
Operating Profit,2.87,2.4,2.67,2.47,2.78,4.07,2.96,2.36,1.31,0.8,-1.02,-1.95,-1.37
OPM %,8.08,17.66,9.48,10.94,19.23,26.16,18.48,14.8,9.47,6.11,-9.65,,
Other Income,0.06,0.09,0.21,0.96,0.69,1.26,1.13,1.06,1.3,0.82,3.97,0.64,0.58
Interest,0.96,0.68,1.08,1.47,1.53,1.35,0.96,1.06,0.99,0.68,0.45,0.00,0.01
Depreciation,1.75,1.24,1.44,1.32,1.14,1.46,1.49,1.49,1.4,1.45,1.3,0.87,0.85
Profit before tax,0.22,0.57,0.36,0.64,0.8,2.52,1.64,0.87,0.22,-0.51,1.2,-2.18,-1.65
Tax %,31.82,33.33,33.33,17.19,33.75,34.13,40.85,5.75,18.18,17.65,29.17,25.69,
Net Profit,0.15,0.38,0.23,0.54,0.53,1.66,0.96,0.83,0.18,-0.42,0.84,-1.62,-0.68
EPS in Rs,0.21,0.54,0.33,0.77,0.76,2.37,1.37,1.19,0.26,-0.6,1.2,-2.31,-0.97
