,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,1.55,1.55,3.85,7.71,7.71
Reserves,1.38,1.73,1.32,1.6800000000000002,4.43,0.73,1.0
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,3.92,3.39,10.91,8.91,6.11,2.43,4.54
Total Liabilities,5.31,5.13,13.78,12.14,14.39,10.87,13.25
Fixed Assets,1.76,1.44,1.18,0.97,0.79,0.65,0.59
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Other Assets,3.05,3.19,12.1,10.67,13.1,9.72,12.16
Total Assets,5.31,5.13,13.78,12.14,14.39,10.87,13.25
