,2020-09-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,13.8,14.21,28.94,5.4,7.11,7.1
Expenses,13.42,13.9,28.36,5.13,7.02,6.67
Operating Profit,0.38,0.31,0.58,0.27,0.09,0.43
OPM %,2.75,2.18,2.0,5.0,1.27,6.06
Other Income,0.06,0.03,0.0,0.0,0.0,0.0
Interest,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.12,0.09,0.08,0.07,0.07,0.06
Profit before tax,0.32,0.25,0.5,0.2,0.02,0.37
Tax %,43.75,28.0,48.0,75.0,-450.0,24.32
Net Profit,0.18,0.19,0.27,0.05,0.11,0.27
EPS in Rs,0.58,0.25,0.35,0.06,0.14,0.35
