,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,23.12,16.52,48.24,26.33,45.55,12.47,14.21
Expenses,22.06,15.73,46.9,25.6,44.64,12.14,13.69
Operating Profit,1.06,0.79,1.34,0.73,0.91,0.33,0.52
OPM %,4.58,4.78,2.78,2.77,2.0,2.65,3.66
Other Income,0.00,0.00,0.03,0.11,0.0,0.03,0.00
Interest,0.00,0.00,0.0,0.0,0.0,0.0,0.00
Depreciation,0.31,0.32,0.26,0.21,0.17,0.14,0.13
Profit before tax,0.75,0.47,1.11,0.63,0.74,0.22,0.39
Tax %,25.33,25.53,-1.8,41.27,40.54,22.73,
Net Profit,0.56,0.35,1.13,0.36,0.44,0.16,0.38
EPS in Rs,,,3.65,1.16,0.57,0.21,0.49
