,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,33.35,23.73,14.25,13.23,15.82,19.3,17.23,17.89,7.56,15.32,15.72,11.71,11.41
Expenses,26.27,25.5,15.13,13.48,15.6,17.4,14.93,15.45,13.44,15.08,13.41,15.24,15.81
Operating Profit,7.08,-1.77,-0.88,-0.25,0.22,1.9,2.3,2.44,-5.88,0.24,2.31,-3.53,-4.40
OPM %,21.23,-7.46,-6.18,-1.89,1.39,9.84,13.35,13.64,-77.78,1.57,14.69,-30.15,-38.56
Other Income,0.99,1.03,0.61,0.98,0.45,0.53,0.37,0.8,0.56,0.86,0.84,0.32,1.39
Interest,1.76,0.88,0.52,0.37,0.72,0.73,0.94,2.3,2.74,3.37,4.72,5.6,5.12
Depreciation,0.68,0.64,0.51,0.52,0.41,0.34,0.86,0.45,0.66,0.59,0.57,0.49,0.47
Profit before tax,5.63,-2.26,-1.3,-0.16,-0.46,1.36,0.87,0.49,-8.72,-2.86,-2.14,-9.3,-8.60
Tax %,10.48,-20.35,0.0,-37.5,0.0,10.29,5.75,8.16,1.49,1.75,0.0,0.11,
Net Profit,5.05,-2.72,-1.3,-0.22,-0.46,1.22,0.82,0.45,-8.59,-2.8,-2.15,-9.29,-8.59
EPS in Rs,1.19,-0.56,-0.27,-0.04,-0.09,0.25,0.17,0.06,-1.35,-0.64,-0.47,-1.84,-1.76
