,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,0.00,0.61,0.1,0.11,0.00,0.00,7.19,0.00,0.04,0.00
Expenses,0.26,0.77,0.16,0.13,0.12,0.16,7.29,0.06,0.05,0.03
Operating Profit,-0.26,-0.16,-0.06,-0.02,-0.12,-0.16,-0.1,-0.06,-0.01,-0.03
OPM %,,-26.23,-60.0,-18.18,,,-1.39,,-25.0,
Other Income,0.04,0.03,0.15,0.04,0.15,0.00,0.33,0.00,0.0,0.00
Interest,0.00,0.0,0.0,0.0,0.00,0.00,0.0,0.00,0.0,0.00
Depreciation,0.00,0.0,0.0,0.0,0.00,0.00,0.01,0.01,0.01,0.01
Profit before tax,-0.22,-0.13,0.09,0.02,0.03,-0.16,0.22,-0.07,-0.02,-0.04
Tax %,31.82,0.0,-22.22,50.0,0.00,0.00,4.55,0.00,0.0,0.00
Net Profit,-0.15,-0.13,0.11,0.02,0.03,-0.16,0.2,-0.07,-0.02,-0.03
EPS in Rs,-0.15,-0.13,0.11,0.02,0.03,-0.17,0.21,-0.07,-0.02,-0.03
