,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.05,7.08,7.08,7.08,9.68,9.68,9.68,9.68,9.68,9.68,9.68
Reserves,0.02,0.05,0.03,0.09,0.89,0.93,0.91,0.96,1.0,0.92,0.88
Borrowings,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.7000000000000001,0.81,0.29,0.71,0.47,1.23,0.8,0.77,0.18,0.15,0.17
Total Liabilities,1.17,7.94,7.4,7.88,11.04,11.84,11.39,11.41,10.86,10.75,10.73
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.06
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.38,0.38,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
Other Assets,0.79,7.56,6.88,7.36,10.52,11.32,10.87,10.89,10.24,10.16,10.15
Total Assets,1.17,7.94,7.4,7.88,11.04,11.84,11.39,11.41,10.86,10.75,10.73
