,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.6,1.93,0.89,1.80,5.03,1.81,0.71,0.11,7.24,0.04,0.04
Expenses,0.58,1.98,1.04,1.92,5.1,1.85,0.92,0.25,7.5,0.1,0.08
Operating Profit,0.02,-0.05,-0.15,-0.12,-0.07,-0.04,-0.21,-0.14,-0.26,-0.06,-0.04
OPM %,3.33,-2.59,-16.85,-6.67,-1.39,-2.21,-29.58,-127.27,-3.59,-150.0,-100.00
Other Income,0.0,0.14,0.12,0.12,0.13,0.1,0.17,0.19,0.33,0.0,0.00
Interest,0.0,0.03,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.0,0.01,0.0,0.00,0.0,0.0,0.0,0.0,0.01,0.02,0.02
Profit before tax,0.02,0.05,-0.03,0.00,0.06,0.06,-0.04,0.05,0.06,-0.08,-0.06
Tax %,50.0,40.0,33.33,,50.0,33.33,50.0,0.0,16.67,0.0,
Net Profit,0.02,0.03,-0.03,0.00,0.02,0.05,-0.02,0.05,0.04,-0.08,-0.05
EPS in Rs,4.0,0.04,-0.04,0.00,0.02,0.05,-0.02,0.05,0.04,-0.08,-0.05
