,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.7,0.1,0.15,0.21,0.65,18.8,20.22
Expenses,0.27,0.08,0.09,0.05,0.5,17.07,18.95
Operating Profit,0.43,0.02,0.06,0.16,0.15,1.73,1.27
OPM %,61.43,20.0,40.0,76.19,23.08,9.2,6.28
Other Income,0.0,0.04,0.03,0.11,0.08,0.11,0.18
Interest,0.0,0.0,0.0,0.0,0.0,0.04,0.04
Depreciation,0.0,0.0,0.0,0.0,0.0,0.86,0.44
Profit before tax,0.43,0.06,0.09,0.27,0.23,0.94,0.97
Tax %,30.23,16.67,22.22,25.93,39.13,41.49,10.31
Net Profit,0.31,0.04,0.06,0.2,0.14,0.55,0.87
EPS in Rs,0.1,0.01,0.02,0.06,0.03,0.13,0.21
