,Mar 2022,Mar 2023,TTM
Sales,1.42,1.56,39.88
Expenses,0.73,0.91,36.57
Operating Profit,0.69,0.65,3.31
OPM %,48.59,41.67,8.30
Other Income,0.0,0.0,0.48
Interest,0.0,0.01,0.08
Depreciation,0.0,0.0,1.30
Profit before tax,0.69,0.64,2.41
Tax %,26.09,31.25,
Net Profit,0.5,0.44,1.76
EPS in Rs,0.16,0.1,0.43
