,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,70,72,50,74,74,78,80,80,80
Reserves,193,255,-209,466,523,786,1307,1590,1733
Borrowings,256,280,753,336,369,316,257,678,956
Other Liabilities,146,167,359,237,228,253,260,553,650
Total Liabilities,665,774,954,1114,1194,1433,1904,2901,3419
Fixed Assets,515,518,755,863,916,931,1005,1766,1927
CWIP,2,64,0,0,2,9,21,477,638
Investments,11,14,0,0,0,0,332,68,116
Other Assets,137,177,199,250,276,493,546,590,739
Total Assets,665,774,954,1114,1194,1433,1904,2901,3419
